customer_id,zip,city,signup_date,gender,age_group,acquisition_channel
80,15216,Ninh Binh,2018-03-19,Male,25-34,paid_search
81,15217,Cam Pha,2021-05-14,Male,25-34,email_campaign
82,15217,Cam Pha,2018-05-31,Male,35-44,organic_search
83,15217,Cam Pha,2021-07-23,Male,25-34,direct
85,15217,Cam Pha,2019-11-26,Male,35-44,paid_search
86,15218,Hai Phong,2017-11-10,Female,18-24,paid_search
88,15218,Hai Phong,2020-12-03,Female,25-34,paid_search
89,15218,Hai Phong,2015-10-11,Male,45-54,referral
90,15218,Hai Phong,2014-09-21,Female,45-54,paid_search
91,15219,Ninh Binh,2016-02-23,Female,25-34,organic_search
92,15219,Ninh Binh,2021-11-26,Female,18-24,referral
94,15219,Ninh Binh,2020-02-15,Female,35-44,social_media
95,15219,Ninh Binh,2015-02-28,Male,35-44,organic_search
96,15220,Bac Giang,2019-09-22,Female,35-44,social_media
98,15220,Bac Giang,2021-02-03,Male,18-24,organic_search
101,15221,Cam Pha,2013-05-08,Female,25-34,organic_search
102,15221,Cam Pha,2022-08-12,Male,35-44,email_campaign
103,15221,Cam Pha,2022-04-27,Male,18-24,organic_search
104,15221,Cam Pha,2021-02-28,Non-binary,25-34,email_campaign
105,15221,Cam Pha,2018-06-18,Female,25-34,organic_search
106,15222,Bac Ninh,2022-01-03,Male,35-44,email_campaign
107,15222,Bac Ninh,2016-03-08,Female,35-44,organic_search
108,15222,Bac Ninh,2020-03-30,Non-binary,45-54,organic_search
109,15222,Bac Ninh,2020-06-03,Non-binary,35-44,social_media
112,15223,Ha Long,2018-06-03,Male,25-34,paid_search
113,15223,Ha Long,2020-11-05,Male,35-44,direct
114,15223,Ha Long,2017-04-16,Male,18-24,organic_search
117,15224,Lao Cai,2018-11-01,Female,25-34,email_campaign
118,15224,Lao Cai,2021-12-29,Male,45-54,email_campaign
119,15224,Lao Cai,2021-10-03,Female,35-44,organic_search
120,15224,Lao Cai,2016-11-22,Female,55+,direct
121,15225,Phu Ly,2022-11-30,Male,25-34,organic_search
122,15225,Phu Ly,2021-03-07,Female,45-54,organic_search
124,15225,Phu Ly,2021-02-07,Female,35-44,social_media
125,15225,Phu Ly,2012-04-24,Male,35-44,social_media
126,15226,Viet Tri,2019-02-14,Female,35-44,email_campaign
127,15226,Viet Tri,2013-10-03,Male,35-44,organic_search
131,15227,Bac Ninh,2018-12-08,Female,25-34,paid_search
132,15227,Bac Ninh,2015-01-07,Female,35-44,organic_search
135,15227,Bac Ninh,2015-09-01,Male,25-34,paid_search
136,15228,Ninh Binh,2020-09-18,Female,55+,paid_search
137,15228,Ninh Binh,2015-04-19,Male,45-54,referral
138,15228,Ninh Binh,2022-11-25,Female,25-34,paid_search
139,15228,Ninh Binh,2022-12-09,Female,18-24,social_media
140,15228,Ninh Binh,2016-06-26,Male,45-54,organic_search
141,15229,Cam Pha,2020-08-14,Female,35-44,social_media
142,15229,Cam Pha,2021-04-09,Male,35-44,social_media
143,15229,Cam Pha,2018-06-10,Female,35-44,social_media
145,15229,Cam Pha,2020-02-19,Female,18-24,organic_search
146,15232,Nam Dinh,2017-10-04,Male,45-54,email_campaign
147,15232,Nam Dinh,2021-03-07,Female,35-44,paid_search
148,15232,Nam Dinh,2022-09-05,Male,25-34,paid_search
149,15232,Nam Dinh,2017-08-12,Male,25-34,social_media
150,15232,Nam Dinh,2018-12-25,Female,55+,direct
152,15233,Hai Phong,2022-01-29,Female,18-24,paid_search
153,15233,Hai Phong,2020-04-11,Female,25-34,social_media
154,15233,Hai Phong,2020-12-29,Female,25-34,paid_search
155,15233,Hai Phong,2016-05-10,Male,18-24,organic_search
156,15234,Cam Pha,2017-12-06,Female,25-34,social_media
157,15234,Cam Pha,2019-04-10,Male,55+,organic_search
158,15234,Cam Pha,2021-08-03,Male,45-54,referral
159,15234,Cam Pha,2018-01-01,Male,45-54,paid_search
160,15234,Cam Pha,2017-11-14,Female,18-24,organic_search
161,15235,Lao Cai,2015-05-04,Female,35-44,paid_search
162,15235,Lao Cai,2021-12-06,Female,45-54,organic_search
163,15235,Lao Cai,2017-12-26,Female,18-24,email_campaign
166,15236,Hanoi,2015-05-03,Male,55+,organic_search
167,15236,Hanoi,2018-02-07,Male,45-54,paid_search
168,15236,Hanoi,2022-03-23,Female,18-24,paid_search
169,15236,Hanoi,2017-10-16,Male,18-24,referral
170,15236,Hanoi,2016-07-21,Male,35-44,paid_search
172,15237,Lao Cai,2021-06-12,Female,55+,social_media
173,15237,Lao Cai,2020-08-06,Female,18-24,paid_search
176,15238,Ninh Binh,2017-06-17,Female,35-44,direct
177,15238,Ninh Binh,2015-11-25,Female,25-34,organic_search
178,15238,Ninh Binh,2020-03-17,Male,25-34,organic_search
179,15238,Ninh Binh,2020-02-20,Female,35-44,social_media
180,15238,Ninh Binh,2020-07-18,Male,45-54,email_campaign
181,15239,Nam Dinh,2022-09-03,Male,45-54,social_media
182,15239,Nam Dinh,2022-04-04,Male,35-44,paid_search
184,15239,Nam Dinh,2015-12-06,Female,35-44,paid_search
185,15239,Nam Dinh,2019-12-08,Female,35-44,organic_search
186,15240,Uong Bi,2019-04-15,Female,45-54,paid_search
188,15240,Uong Bi,2018-03-28,Male,25-34,paid_search
189,15240,Uong Bi,2017-06-16,Female,35-44,organic_search
190,15240,Uong Bi,2020-05-17,Female,45-54,referral
191,15241,Ha Long,2020-02-14,Male,35-44,direct
192,15241,Ha Long,2018-08-08,Female,18-24,organic_search
193,15241,Ha Long,2018-04-03,Male,55+,social_media
195,15241,Ha Long,2020-04-28,Female,25-34,email_campaign
197,15243,Viet Tri,2021-04-10,Male,45-54,social_media
198,15243,Viet Tri,2014-10-27,Female,45-54,paid_search
204,15275,Son Tay,2017-02-07,Male,35-44,social_media
205,15275,Son Tay,2020-09-17,Male,45-54,email_campaign
206,15276,Bac Ninh,2017-10-14,Female,55+,paid_search
207,15276,Bac Ninh,2019-12-02,Non-binary,35-44,social_media
208,15276,Bac Ninh,2015-01-14,Male,45-54,paid_search
209,15276,Bac Ninh,2019-09-13,Male,18-24,social_media
211,15277,Thai Nguyen,2018-06-11,Male,45-54,organic_search
213,15277,Thai Nguyen,2020-06-07,Female,25-34,paid_search
214,15277,Thai Nguyen,2020-02-18,Female,35-44,paid_search
217,15295,Viet Tri,2021-04-27,Male,25-34,organic_search
218,15295,Viet Tri,2022-08-06,Male,35-44,email_campaign
219,15295,Viet Tri,2016-12-04,Female,35-44,paid_search
220,15295,Viet Tri,2018-10-24,Female,35-44,direct
222,15937,Bac Giang,2021-07-07,Male,35-44,organic_search
223,15937,Bac Giang,2021-03-16,Male,45-54,organic_search
224,15937,Bac Giang,2022-10-23,Female,25-34,social_media
225,15937,Bac Giang,2014-12-31,Female,35-44,paid_search
226,15938,Thai Nguyen,2021-07-22,Male,18-24,paid_search
227,15938,Thai Nguyen,2020-11-12,Female,55+,referral
229,15938,Thai Nguyen,2016-12-19,Male,55+,social_media
231,15940,Nam Dinh,2015-07-19,Male,45-54,social_media
232,15940,Nam Dinh,2017-05-24,Male,55+,organic_search
233,15940,Nam Dinh,2021-08-23,Male,18-24,email_campaign
234,15940,Nam Dinh,2022-04-10,Female,25-34,referral
235,15940,Nam Dinh,2018-01-25,Male,55+,email_campaign
236,15942,Cam Pha,2016-05-02,Female,18-24,direct
238,15942,Cam Pha,2018-03-17,Male,45-54,organic_search
239,15942,Cam Pha,2021-08-21,Female,35-44,organic_search
240,15942,Cam Pha,2021-11-02,Male,18-24,paid_search
241,15943,Viet Tri,2020-02-05,Male,35-44,organic_search
242,15943,Viet Tri,2021-07-20,Male,45-54,organic_search
243,15943,Viet Tri,2021-01-15,Female,45-54,social_media
245,15943,Viet Tri,2017-08-27,Male,25-34,email_campaign
246,15944,Son Tay,2022-07-31,Male,35-44,direct
247,15944,Son Tay,2018-02-10,Female,35-44,organic_search
248,15944,Son Tay,2019-11-13,Female,35-44,organic_search
249,15944,Son Tay,2022-03-31,Male,55+,social_media
250,15944,Son Tay,2018-11-07,Female,45-54,social_media
251,15945,Bac Giang,2019-01-13,Female,25-34,paid_search
252,15945,Bac Giang,2022-11-02,Male,45-54,social_media
253,15945,Bac Giang,2015-05-18,Female,35-44,social_media
254,15945,Bac Giang,2020-06-18,Female,35-44,email_campaign
257,15946,Ha Long,2015-05-24,Female,35-44,email_campaign
258,15946,Ha Long,2017-10-11,Female,35-44,organic_search
259,15946,Ha Long,2018-06-11,Male,25-34,paid_search
263,15948,Ninh Binh,2019-08-08,Male,35-44,organic_search
264,15948,Ninh Binh,2016-12-21,Male,25-34,organic_search
266,15949,Uong Bi,2022-06-26,Female,35-44,organic_search
267,15949,Uong Bi,2021-10-11,Female,25-34,organic_search
269,15949,Uong Bi,2022-02-09,Female,45-54,paid_search
270,15949,Uong Bi,2013-02-12,Female,55+,organic_search
272,15951,Viet Tri,2018-11-05,Male,55+,email_campaign
273,15951,Viet Tri,2022-03-08,Female,25-34,referral
275,15951,Viet Tri,2016-08-03,Female,18-24,organic_search
276,15952,Hai Phong,2016-04-03,Male,35-44,social_media
277,15952,Hai Phong,2016-02-05,Male,25-34,paid_search
278,15952,Hai Phong,2021-04-19,Male,18-24,paid_search
279,15952,Hai Phong,2018-07-12,Female,18-24,organic_search
280,15952,Hai Phong,2021-09-21,Male,55+,social_media
281,15954,Phu Ly,2022-08-03,Female,25-34,social_media
282,15954,Phu Ly,2017-08-24,Male,35-44,referral
283,15954,Phu Ly,2021-12-15,Female,45-54,email_campaign
284,15954,Phu Ly,2018-06-05,Male,55+,organic_search
285,15954,Phu Ly,2020-09-27,Female,25-34,organic_search
288,15955,Ninh Binh,2015-10-22,Female,25-34,email_campaign
289,15955,Ninh Binh,2020-02-20,Female,45-54,social_media
290,15955,Ninh Binh,2018-07-31,Male,35-44,organic_search
291,15956,Bac Giang,2012-10-03,Male,45-54,paid_search
292,15956,Bac Giang,2022-12-23,Female,45-54,referral
293,15956,Bac Giang,2021-12-23,Female,25-34,paid_search
294,15956,Bac Giang,2018-05-27,Female,25-34,social_media
295,15956,Bac Giang,2022-10-05,Female,35-44,paid_search
296,15957,Ninh Binh,2021-04-14,Male,25-34,organic_search
297,15957,Ninh Binh,2020-03-06,Female,25-34,organic_search
298,15957,Ninh Binh,2013-03-29,Male,35-44,social_media
299,15957,Ninh Binh,2015-06-09,Male,18-24,paid_search
302,15958,Ninh Binh,2021-03-27,Male,35-44,organic_search
304,15958,Ninh Binh,2021-07-17,Non-binary,25-34,organic_search
305,15958,Ninh Binh,2016-10-25,Male,25-34,organic_search
306,15959,Bac Ninh,2016-06-20,Male,45-54,paid_search
307,15959,Bac Ninh,2018-12-11,Male,55+,organic_search
312,15960,Lao Cai,2017-09-26,Male,35-44,social_media
313,15960,Lao Cai,2018-04-01,Female,45-54,paid_search
314,15960,Lao Cai,2016-01-07,Male,25-34,organic_search
317,15961,Thai Nguyen,2019-12-21,Female,18-24,paid_search
318,15961,Thai Nguyen,2021-11-06,Female,35-44,paid_search
319,15961,Thai Nguyen,2016-12-02,Non-binary,45-54,social_media
325,15963,Viet Tri,2013-12-23,Male,45-54,organic_search
326,16001,Uong Bi,2022-09-23,Female,55+,organic_search
327,16001,Uong Bi,2019-03-18,Male,55+,paid_search
332,16002,Hai Phong,2018-06-18,Male,45-54,email_campaign
334,16002,Hai Phong,2016-02-13,Male,45-54,paid_search
337,16020,Ninh Binh,2017-11-25,Female,55+,organic_search
339,16020,Ninh Binh,2020-06-25,Female,18-24,organic_search
340,16020,Ninh Binh,2018-11-29,Male,45-54,organic_search
342,16022,Phu Ly,2017-12-20,Non-binary,35-44,referral
343,16022,Phu Ly,2013-12-07,Male,18-24,email_campaign
344,16022,Phu Ly,2017-07-01,Female,45-54,organic_search
345,16022,Phu Ly,2019-03-02,Female,45-54,social_media
348,16023,Viet Tri,2018-08-11,Male,25-34,organic_search
349,16023,Viet Tri,2022-01-05,Male,18-24,email_campaign
350,16023,Viet Tri,2019-11-27,Female,18-24,direct
352,16025,Viet Tri,2021-02-26,Female,45-54,email_campaign
354,16025,Viet Tri,2016-04-02,Male,25-34,organic_search
356,16027,Nam Dinh,2017-04-15,Female,25-34,paid_search
358,16027,Nam Dinh,2018-06-12,Female,25-34,social_media
359,16027,Nam Dinh,2016-02-15,Male,45-54,social_media
360,16027,Nam Dinh,2020-03-30,Male,35-44,social_media
361,16028,Phu Ly,2022-09-02,Male,35-44,organic_search
362,16028,Phu Ly,2019-01-02,Female,45-54,email_campaign
363,16028,Phu Ly,2021-09-25,Female,35-44,organic_search
364,16028,Phu Ly,2020-12-10,Female,25-34,paid_search
365,16028,Phu Ly,2019-10-06,Male,18-24,social_media
366,16029,Cam Pha,2021-06-29,Male,45-54,paid_search
367,16029,Cam Pha,2018-04-25,Male,35-44,organic_search
368,16029,Cam Pha,2022-07-11,Male,45-54,organic_search
369,16029,Cam Pha,2012-07-11,Female,18-24,organic_search
371,16030,Bac Giang,2021-03-05,Male,25-34,referral
372,16030,Bac Giang,2022-08-08,Male,45-54,referral
373,16030,Bac Giang,2022-10-07,Male,55+,paid_search
374,16030,Bac Giang,2022-03-28,Non-binary,18-24,social_media
375,16030,Bac Giang,2019-07-19,Female,25-34,social_media
376,16033,Cam Pha,2015-04-26,Female,18-24,organic_search
377,16033,Cam Pha,2022-03-10,Female,35-44,direct
378,16033,Cam Pha,2019-03-10,Female,55+,email_campaign
379,16033,Cam Pha,2019-01-03,Male,18-24,email_campaign
381,16034,Cam Pha,2022-08-09,Female,35-44,paid_search
382,16034,Cam Pha,2018-11-08,Male,25-34,paid_search
383,16034,Cam Pha,2018-12-15,Male,18-24,email_campaign
384,16034,Cam Pha,2019-12-29,Male,45-54,referral
385,16034,Cam Pha,2019-12-07,Male,35-44,paid_search
386,16037,Nam Dinh,2018-10-20,Female,25-34,social_media
387,16037,Nam Dinh,2016-06-19,Female,25-34,organic_search
388,16037,Nam Dinh,2020-02-09,Female,45-54,paid_search
390,16037,Nam Dinh,2022-04-15,Male,55+,organic_search
392,16038,Hai Phong,2021-10-22,Female,25-34,referral
393,16038,Hai Phong,2018-11-11,Male,25-34,paid_search
394,16038,Hai Phong,2021-04-03,Male,18-24,paid_search
395,16038,Hai Phong,2012-04-06,Female,25-34,social_media
396,16040,Viet Tri,2018-09-13,Female,18-24,paid_search
397,16040,Viet Tri,2020-03-13,Non-binary,35-44,social_media
398,16040,Viet Tri,2021-07-09,Male,45-54,email_campaign
399,16040,Viet Tri,2022-02-11,Female,55+,organic_search
400,16040,Viet Tri,2020-07-11,Male,45-54,email_campaign
401,16041,Viet Tri,2020-04-25,Male,25-34,organic_search
402,16041,Viet Tri,2017-10-13,Male,45-54,social_media
403,16041,Viet Tri,2020-08-07,Male,25-34,organic_search
406,16045,Bac Giang,2017-02-26,Female,45-54,paid_search
407,16045,Bac Giang,2015-08-25,Male,25-34,organic_search
408,16045,Bac Giang,2020-12-22,Male,25-34,paid_search
409,16045,Bac Giang,2021-12-11,Female,35-44,organic_search
410,16045,Bac Giang,2019-03-30,Female,55+,email_campaign
412,16046,Ninh Binh,2022-11-01,Male,25-34,organic_search
413,16046,Ninh Binh,2022-04-03,Male,25-34,social_media
414,16046,Ninh Binh,2017-12-06,Female,35-44,organic_search
415,16046,Ninh Binh,2017-08-01,Female,35-44,paid_search
416,16049,Hai Phong,2013-12-18,Female,25-34,paid_search
417,16049,Hai Phong,2018-03-11,Female,25-34,paid_search
418,16049,Hai Phong,2020-08-14,Female,45-54,organic_search
420,16049,Hai Phong,2015-05-20,Male,18-24,direct
421,16050,Phu Ly,2020-01-19,Female,25-34,social_media
422,16050,Phu Ly,2021-12-02,Female,18-24,organic_search
423,16050,Phu Ly,2017-07-08,Female,35-44,social_media
424,16050,Phu Ly,2022-06-07,Male,18-24,organic_search
425,16050,Phu Ly,2020-10-16,Male,25-34,organic_search
426,16051,Uong Bi,2018-03-07,Female,55+,email_campaign
427,16051,Uong Bi,2022-02-15,Female,25-34,direct
428,16051,Uong Bi,2012-12-10,Male,55+,direct
429,16051,Uong Bi,2022-10-31,Female,55+,social_media
430,16051,Uong Bi,2022-12-20,Male,25-34,social_media
431,16052,Uong Bi,2016-02-02,Male,35-44,direct
432,16052,Uong Bi,2020-02-26,Male,45-54,referral
433,16052,Uong Bi,2017-04-01,Female,55+,social_media
435,16052,Uong Bi,2020-12-30,Female,45-54,organic_search
436,16053,Cam Pha,2014-10-23,Female,35-44,organic_search
437,16053,Cam Pha,2018-03-31,Female,45-54,paid_search
439,16053,Cam Pha,2020-06-12,Female,25-34,social_media
441,16054,Cam Pha,2022-03-19,Female,18-24,paid_search
443,16054,Cam Pha,2021-08-24,Male,25-34,paid_search
446,16055,Hai Phong,2021-10-14,Female,55+,direct
447,16055,Hai Phong,2022-08-08,Female,25-34,email_campaign
448,16055,Hai Phong,2020-11-18,Male,35-44,paid_search
450,16055,Hai Phong,2021-04-03,Female,18-24,social_media
452,16056,Cam Pha,2022-10-12,Male,45-54,organic_search
453,16056,Cam Pha,2020-08-12,Female,35-44,paid_search
454,16056,Cam Pha,2018-05-15,Female,35-44,email_campaign
455,16056,Cam Pha,2018-03-22,Male,25-34,referral
456,16057,Ninh Binh,2021-12-25,Female,55+,paid_search
457,16057,Ninh Binh,2022-12-09,Female,35-44,paid_search
458,16057,Ninh Binh,2021-01-10,Male,35-44,organic_search
459,16057,Ninh Binh,2021-11-24,Male,45-54,organic_search
460,16057,Ninh Binh,2018-07-22,Male,18-24,direct
461,16059,Uong Bi,2015-06-28,Female,25-34,email_campaign
462,16059,Uong Bi,2018-09-08,Female,25-34,social_media
463,16059,Uong Bi,2018-07-09,Female,35-44,organic_search
464,16059,Uong Bi,2019-01-27,Female,35-44,organic_search
465,16059,Uong Bi,2021-03-10,Male,18-24,organic_search
466,16061,Hanoi,2016-08-28,Female,18-24,paid_search
467,16061,Hanoi,2018-01-06,Female,18-24,direct
468,16061,Hanoi,2022-05-31,Male,25-34,paid_search
469,16061,Hanoi,2022-07-04,Male,18-24,email_campaign
470,16061,Hanoi,2015-03-06,Non-binary,25-34,social_media
471,16063,Thai Nguyen,2019-12-26,Female,45-54,paid_search
472,16063,Thai Nguyen,2021-03-17,Male,25-34,email_campaign
473,16063,Thai Nguyen,2020-01-24,Female,25-34,paid_search
474,16063,Thai Nguyen,2017-09-09,Female,45-54,direct
475,16063,Thai Nguyen,2020-02-08,Female,25-34,social_media
477,16066,Bac Giang,2021-07-21,Female,25-34,email_campaign
478,16066,Bac Giang,2022-06-04,Female,55+,organic_search
480,16066,Bac Giang,2022-12-08,Female,45-54,organic_search
481,16101,Son Tay,2019-09-18,Female,35-44,paid_search
482,16101,Son Tay,2012-12-21,Female,45-54,social_media
483,16101,Son Tay,2019-06-02,Female,35-44,direct
484,16101,Son Tay,2022-11-07,Female,45-54,referral
487,16102,Nam Dinh,2020-02-04,Female,45-54,email_campaign
488,16102,Nam Dinh,2022-10-22,Female,55+,paid_search
489,16102,Nam Dinh,2021-03-28,Male,25-34,email_campaign
490,16102,Nam Dinh,2021-09-16,Female,25-34,organic_search
491,16105,Bac Ninh,2017-11-16,Female,18-24,email_campaign
492,16105,Bac Ninh,2017-11-11,Non-binary,25-34,organic_search
493,16105,Bac Ninh,2020-04-03,Female,45-54,social_media
494,16105,Bac Ninh,2014-02-20,Non-binary,18-24,social_media
495,16105,Bac Ninh,2019-04-02,Female,45-54,organic_search
496,16107,Son Tay,2022-04-20,Female,35-44,paid_search
497,16107,Son Tay,2019-12-14,Male,45-54,organic_search
498,16107,Son Tay,2017-01-31,Male,25-34,referral
499,16107,Son Tay,2020-07-19,Female,45-54,organic_search
500,16107,Son Tay,2016-06-22,Female,35-44,referral
501,16110,Hanoi,2021-11-11,Female,18-24,social_media
502,16110,Hanoi,2014-01-23,Male,35-44,organic_search
503,16110,Hanoi,2019-11-07,Male,25-34,social_media
504,16110,Hanoi,2021-05-23,Male,45-54,paid_search
505,16110,Hanoi,2014-01-25,Male,45-54,organic_search
506,16111,Nam Dinh,2022-01-08,Male,35-44,paid_search
507,16111,Nam Dinh,2016-08-11,Male,25-34,direct
508,16111,Nam Dinh,2020-06-30,Female,35-44,social_media
509,16111,Nam Dinh,2014-10-24,Male,25-34,email_campaign
510,16111,Nam Dinh,2019-09-13,Male,25-34,organic_search
511,16112,Ninh Binh,2017-10-03,Male,55+,organic_search
512,16112,Ninh Binh,2019-02-24,Female,25-34,direct
513,16112,Ninh Binh,2022-11-27,Male,25-34,email_campaign
514,16112,Ninh Binh,2019-09-13,Female,25-34,paid_search
515,16112,Ninh Binh,2022-11-03,Male,25-34,organic_search
517,16115,Hanoi,2018-04-14,Female,55+,social_media
518,16115,Hanoi,2015-08-03,Male,18-24,direct
519,16115,Hanoi,2013-10-01,Male,18-24,social_media
520,16115,Hanoi,2021-03-08,Female,35-44,organic_search
522,16116,Ninh Binh,2019-05-26,Female,45-54,social_media
523,16116,Ninh Binh,2022-01-29,Male,25-34,social_media
525,16116,Ninh Binh,2022-02-03,Male,55+,email_campaign
526,16117,Nam Dinh,2022-11-09,Female,25-34,social_media
528,16117,Nam Dinh,2017-08-03,Male,35-44,organic_search
529,16117,Nam Dinh,2013-10-17,Male,55+,paid_search
530,16117,Nam Dinh,2016-11-20,Female,25-34,social_media
531,16120,Lao Cai,2016-06-13,Non-binary,18-24,organic_search
532,16120,Lao Cai,2022-03-25,Male,18-24,email_campaign
533,16120,Lao Cai,2021-05-22,Female,25-34,organic_search
534,16120,Lao Cai,2017-11-03,Male,45-54,organic_search
535,16120,Lao Cai,2022-06-15,Female,35-44,social_media
536,16123,Thai Nguyen,2022-12-12,Male,45-54,organic_search
537,16123,Thai Nguyen,2017-02-15,Male,45-54,email_campaign
538,16123,Thai Nguyen,2021-09-28,Male,25-34,organic_search
539,16123,Thai Nguyen,2022-10-23,Male,25-34,organic_search
540,16123,Thai Nguyen,2016-03-28,Male,45-54,social_media
543,16130,Bac Giang,2016-02-13,Female,35-44,organic_search
544,16130,Bac Giang,2014-01-05,Female,45-54,email_campaign
545,16130,Bac Giang,2018-12-26,Female,18-24,paid_search
546,16131,Viet Tri,2022-04-15,Female,35-44,social_media
548,16131,Viet Tri,2019-11-16,Female,45-54,paid_search
549,16131,Viet Tri,2022-07-27,Female,25-34,email_campaign
550,16131,Viet Tri,2015-06-16,Male,35-44,social_media
551,16132,Hai Phong,2022-05-22,Female,18-24,referral
552,16132,Hai Phong,2021-11-25,Male,35-44,organic_search
553,16132,Hai Phong,2015-12-31,Male,35-44,organic_search
554,16132,Hai Phong,2022-12-26,Female,55+,organic_search
556,16134,Cam Pha,2021-09-08,Male,25-34,organic_search
557,16134,Cam Pha,2016-05-10,Male,25-34,social_media
560,16134,Cam Pha,2019-05-15,Male,35-44,social_media
561,16136,Cam Pha,2020-03-08,Male,25-34,referral
562,16136,Cam Pha,2019-08-12,Female,25-34,referral
563,16136,Cam Pha,2020-11-22,Female,25-34,paid_search
564,16136,Cam Pha,2019-04-22,Female,55+,referral
567,16141,Son Tay,2016-01-26,Female,45-54,referral
569,16141,Son Tay,2021-12-19,Male,35-44,organic_search
571,16142,Viet Tri,2022-07-07,Male,18-24,email_campaign
572,16142,Viet Tri,2020-04-02,Female,35-44,organic_search
573,16142,Viet Tri,2022-09-16,Male,18-24,organic_search
575,16142,Viet Tri,2018-07-02,Male,25-34,social_media
577,16143,Bac Ninh,2021-03-04,Male,25-34,organic_search
578,16143,Bac Ninh,2020-09-10,Female,35-44,social_media
579,16143,Bac Ninh,2020-04-02,Male,25-34,social_media
580,16143,Bac Ninh,2022-09-08,Female,45-54,organic_search
581,16151,Bac Ninh,2018-06-25,Female,25-34,referral
584,16151,Bac Ninh,2015-09-09,Male,35-44,organic_search
586,16156,Ninh Binh,2018-03-06,Female,25-34,organic_search
587,16156,Ninh Binh,2020-07-10,Female,18-24,paid_search
